,index,UTM_X,UTM_Y,Lithology,Dist_from_fault,Probability_Mineralization
38,38,399600,2765400,GARNETIFEROUS MICA SCHIST,11189.360028566693,1
39,39,399650,2765400,GARNETIFEROUS MICA SCHIST,11140.38830279947,1
40,40,399700,2765400,GARNETIFEROUS MICA SCHIST,11091.42575259901,1
41,41,399750,2765400,GARNETIFEROUS MICA SCHIST,11042.472500019268,1
42,42,399800,2765400,GARNETIFEROUS MICA SCHIST,10993.5286692648,1
43,43,399850,2765400,GARNETIFEROUS MICA SCHIST,10944.59438673779,1
44,44,399900,2765400,GARNETIFEROUS MICA SCHIST,10895.66978108632,1
45,45,399950,2765400,GARNETIFEROUS MICA SCHIST,10846.75498325388,1
46,46,400000,2765400,GARNETIFEROUS MICA SCHIST,10797.850126530195,1
47,47,400050,2765400,GARNETIFEROUS MICA SCHIST,10748.955346603381,1
48,48,400100,2765400,GARNETIFEROUS MICA SCHIST,10700.070781613487,1
49,49,400150,2765400,GARNETIFEROUS MICA SCHIST,10651.19657220746,1
50,50,400200,2765400,GARNETIFEROUS MICA SCHIST,10602.332861595567,1
51,51,400250,2765400,GARNETIFEROUS MICA SCHIST,10553.479795609337,1
52,52,400300,2765400,GARNETIFEROUS MICA SCHIST,10504.637522761066,1
53,53,400350,2765400,GARNETIFEROUS MICA SCHIST,10455.806194304916,1
54,54,400400,2765400,GARNETIFEROUS MICA SCHIST,10406.985964299669,1
55,55,400450,2765400,GARNETIFEROUS MICA SCHIST,10358.17698967321,1
56,56,400500,2765400,GARNETIFEROUS MICA SCHIST,10309.37943028875,1
57,57,400550,2765400,GARNETIFEROUS MICA SCHIST,10260.593449012884,1
58,58,400600,2765400,GARNETIFEROUS MICA SCHIST,10211.819211785498,1
59,59,400650,2765400,GARNETIFEROUS MICA SCHIST,10163.056887691648,1
60,60,400700,2765400,GARNETIFEROUS MICA SCHIST,10114.30664903541,1
61,61,400750,2765400,GARNETIFEROUS MICA SCHIST,10065.568671415796,1
62,62,400800,2765400,GARNETIFEROUS MICA SCHIST,10016.843133804803,1
63,63,400850,2765400,GARNETIFEROUS MICA SCHIST,9968.13021862765,1
64,64,399250,2765450,GARNETIFEROUS MICA SCHIST,11522.746960440963,1
65,65,399300,2765450,GARNETIFEROUS MICA SCHIST,11473.672960417545,1
66,66,399350,2765450,GARNETIFEROUS MICA SCHIST,11424.606990653201,1
67,67,399400,2765450,GARNETIFEROUS MICA SCHIST,11375.549155058286,1
68,68,399450,2765450,GARNETIFEROUS MICA SCHIST,11326.499559326021,1
69,69,399500,2765450,GARNETIFEROUS MICA SCHIST,11277.458310970509,1
70,70,399550,2765450,GARNETIFEROUS MICA SCHIST,11228.425519365708,1
71,71,399600,2765450,GARNETIFEROUS MICA SCHIST,11179.401295785403,1
72,72,399650,2765450,GARNETIFEROUS MICA SCHIST,11130.3857534442,1
73,73,399700,2765450,GARNETIFEROUS MICA SCHIST,11081.37900753958,1
74,74,399750,2765450,GARNETIFEROUS MICA SCHIST,11032.38117529503,1
75,75,399800,2765450,GARNETIFEROUS MICA SCHIST,10983.392376004302,1
76,76,399850,2765450,GARNETIFEROUS MICA SCHIST,10934.412731076813,1
77,77,399900,2765450,GARNETIFEROUS MICA SCHIST,10885.442364084243,1
78,78,399950,2765450,GARNETIFEROUS MICA SCHIST,10836.481400808347,1
79,79,400000,2765450,GARNETIFEROUS MICA SCHIST,10787.529969290026,1
80,80,400050,2765450,GARNETIFEROUS MICA SCHIST,10738.58819987971,1
81,81,400100,2765450,GARNETIFEROUS MICA SCHIST,10689.656225289054,1
82,82,400150,2765450,GARNETIFEROUS MICA SCHIST,10640.734180644036,1
83,83,400200,2765450,GARNETIFEROUS MICA SCHIST,10591.822203539463,1
84,84,400250,2765450,GARNETIFEROUS MICA SCHIST,10542.920434094949,1
85,85,400300,2765450,GARNETIFEROUS MICA SCHIST,10494.029015012398,1
86,86,400350,2765450,GARNETIFEROUS MICA SCHIST,10445.148091635052,1
87,87,400400,2765450,GARNETIFEROUS MICA SCHIST,10396.277812008135,1
88,88,400450,2765450,GARNETIFEROUS MICA SCHIST,10347.418326941164,1
89,89,400500,2765450,GARNETIFEROUS MICA SCHIST,10298.569790071977,1
90,90,400550,2765450,GARNETIFEROUS MICA SCHIST,10249.732357932497,1
91,91,400600,2765450,GARNETIFEROUS MICA SCHIST,10200.906190016341,1
92,92,400650,2765450,GARNETIFEROUS MICA SCHIST,10152.09144884831,1
93,93,400700,2765450,GARNETIFEROUS MICA SCHIST,10103.28830005579,1
94,94,400750,2765450,GARNETIFEROUS MICA SCHIST,10054.49691244219,1
95,95,400800,2765450,GARNETIFEROUS MICA SCHIST,10005.717458062403,1
96,96,400850,2765450,GARNETIFEROUS MICA SCHIST,9956.950112300456,1
97,97,400900,2765450,GARNETIFEROUS MICA SCHIST,9908.195053949297,1
98,98,399200,2765500,GARNETIFEROUS MICA SCHIST,11562.4158076679,1
99,99,399250,2765500,GARNETIFEROUS MICA SCHIST,11513.293751037269,1
100,100,399300,2765500,GARNETIFEROUS MICA SCHIST,11464.17928531908,1
101,101,399350,2765500,GARNETIFEROUS MICA SCHIST,11415.072508495263,1
102,102,399400,2765500,GARNETIFEROUS MICA SCHIST,11365.973520225605,1
103,103,399450,2765500,GARNETIFEROUS MICA SCHIST,11316.882421883462,1
104,104,399500,2765500,GARNETIFEROUS MICA SCHIST,11267.7993165924,1
105,105,399550,2765500,GARNETIFEROUS MICA SCHIST,11218.724309263751,1
106,106,399600,2765500,GARNETIFEROUS MICA SCHIST,11169.657506635138,1
107,107,399650,2765500,GARNETIFEROUS MICA SCHIST,11120.59901730999,1
108,108,399700,2765500,GARNETIFEROUS MICA SCHIST,11071.548951798082,1
109,109,399750,2765500,GARNETIFEROUS MICA SCHIST,11022.507422557106,1
110,110,399800,2765500,GARNETIFEROUS MICA SCHIST,10973.474544035347,1
111,111,399850,2765500,GARNETIFEROUS MICA SCHIST,10924.450432715461,1
112,112,399900,2765500,GARNETIFEROUS MICA SCHIST,10875.435207159402,1
113,113,399950,2765500,GARNETIFEROUS MICA SCHIST,10826.428988054535,1
114,114,400000,2765500,GARNETIFEROUS MICA SCHIST,10777.43189826096,1
115,115,400050,2765500,GARNETIFEROUS MICA SCHIST,10728.444062860099,1
116,116,400100,2765500,GARNETIFEROUS MICA SCHIST,10679.46560920458,1
117,117,400150,2765500,GARNETIFEROUS MICA SCHIST,10630.496666969453,1
118,118,400200,2765500,GARNETIFEROUS MICA SCHIST,10581.537368204768,1
119,119,400250,2765500,GARNETIFEROUS MICA SCHIST,10532.587847389603,1
120,120,400300,2765500,GARNETIFEROUS MICA SCHIST,10483.648241487523,1
121,121,400350,2765500,GARNETIFEROUS MICA SCHIST,10434.718690003565,1
122,122,400400,2765500,GARNETIFEROUS MICA SCHIST,10385.799335042777,1
123,123,400450,2765500,GARNETIFEROUS MICA SCHIST,10336.89032137036,1
124,124,400500,2765500,GARNETIFEROUS MICA SCHIST,10287.991796473474,1
125,125,400550,2765500,GARNETIFEROUS MICA SCHIST,10239.103910624737,1
126,126,400600,2765500,GARNETIFEROUS MICA SCHIST,10190.226816947503,1
127,127,400650,2765500,GARNETIFEROUS MICA SCHIST,10141.36067148296,1
128,128,400700,2765500,GARNETIFEROUS MICA SCHIST,10092.505633259096,1
129,129,400750,2765500,GARNETIFEROUS MICA SCHIST,10043.661864361617,1
130,130,400800,2765500,GARNETIFEROUS MICA SCHIST,9994.829530006858,1
131,131,400850,2765500,GARNETIFEROUS MICA SCHIST,9946.008798616778,1
132,132,400900,2765500,GARNETIFEROUS MICA SCHIST,9897.199841896072,1
133,133,400950,2765500,GARNETIFEROUS MICA SCHIST,9848.402834911503,1
134,134,399200,2765550,GARNETIFEROUS MICA SCHIST,11553.211449321392,1
135,135,399250,2765550,GARNETIFEROUS MICA SCHIST,11504.050090337583,1
136,136,399300,2765550,GARNETIFEROUS MICA SCHIST,11454.895991202253,1
137,137,399350,2765550,GARNETIFEROUS MICA SCHIST,11405.749245776302,1
138,138,399400,2765550,GARNETIFEROUS MICA SCHIST,11356.609949531241,1
139,139,399450,2765550,GARNETIFEROUS MICA SCHIST,11307.47819958355,1
140,140,399500,2765550,GARNETIFEROUS MICA SCHIST,11258.354094729944,1
141,141,399550,2765550,GARNETIFEROUS MICA SCHIST,11209.237735483523,1
142,142,399600,2765550,GARNETIFEROUS MICA SCHIST,11160.12922411085,1
143,143,399650,2765550,GARNETIFEROUS MICA SCHIST,11111.028664669995,1
144,144,399700,2765550,GARNETIFEROUS MICA SCHIST,11061.936163049557,1
145,145,399750,2765550,GARNETIFEROUS MICA SCHIST,11012.851827008699,1
146,146,399800,2765550,GARNETIFEROUS MICA SCHIST,10963.775766218228,1
147,147,399850,2765550,GARNETIFEROUS MICA SCHIST,10914.70809230276,1
148,148,399900,2765550,GARNETIFEROUS MICA SCHIST,10865.648918883982,1
149,149,399950,2765550,GARNETIFEROUS MICA SCHIST,10816.598361625058,1
150,150,400000,2765550,GARNETIFEROUS MICA SCHIST,10767.556538276229,1
151,151,400050,2765550,GARNETIFEROUS MICA SCHIST,10718.5235687216,1
152,152,400100,2765550,GARNETIFEROUS MICA SCHIST,10669.499575027205,1
153,153,400150,2765550,GARNETIFEROUS MICA SCHIST,10620.484681490341,1
154,154,400200,2765550,GARNETIFEROUS MICA SCHIST,10571.479014690245,1
155,155,400250,2765550,GARNETIFEROUS MICA SCHIST,10522.482703540145,1
156,156,400300,2765550,GARNETIFEROUS MICA SCHIST,10473.495879340708,1
157,157,400350,2765550,GARNETIFEROUS MICA SCHIST,10424.51867583497,1
158,158,400400,2765550,GARNETIFEROUS MICA SCHIST,10375.551229264753,1
159,159,400450,2765550,GARNETIFEROUS MICA SCHIST,10326.593678428651,1
160,160,400500,2765550,GARNETIFEROUS MICA SCHIST,10277.646164741607,1
161,161,400550,2765550,GARNETIFEROUS MICA SCHIST,10228.708832296143,1
162,162,400600,2765550,GARNETIFEROUS MICA SCHIST,10179.781827925312,1
163,163,400650,2765550,GARNETIFEROUS MICA SCHIST,10130.865301267393,1
164,164,400700,2765550,GARNETIFEROUS MICA SCHIST,10081.959404832422,1
165,165,400750,2765550,GARNETIFEROUS MICA SCHIST,10033.064294070591,1
166,166,400800,2765550,GARNETIFEROUS MICA SCHIST,9984.180127442587,1
167,167,400850,2765550,GARNETIFEROUS MICA SCHIST,9935.307066491943,1
168,168,400900,2765550,GARNETIFEROUS MICA SCHIST,9886.44527591945,1
169,169,400950,2765550,GARNETIFEROUS MICA SCHIST,9837.594923659708,1
170,170,401000,2765550,GARNETIFEROUS MICA SCHIST,9788.756180959894,1
171,171,399150,2765600,GARNETIFEROUS MICA SCHIST,11593.42298839251,1
172,172,399200,2765600,GARNETIFEROUS MICA SCHIST,11544.216312771223,1
173,173,399250,2765600,GARNETIFEROUS MICA SCHIST,11495.016483864583,1
174,174,399300,2765600,GARNETIFEROUS MICA SCHIST,11445.823589964322,1
175,175,399350,2765600,GARNETIFEROUS MICA SCHIST,11396.63772087404,1
176,176,399400,2765600,GARNETIFEROUS MICA SCHIST,11347.458967941426,1
177,177,399450,2765600,GARNETIFEROUS MICA SCHIST,11298.287424091297,1
178,178,399500,2765600,GARNETIFEROUS MICA SCHIST,11249.12318385948,1
179,179,399550,2765600,GARNETIFEROUS MICA SCHIST,11199.966343427559,1
180,180,399600,2765600,GARNETIFEROUS MICA SCHIST,11150.817000658533,1
181,181,399650,2765600,GARNETIFEROUS MICA SCHIST,11101.675255133372,1
182,182,399700,2765600,GARNETIFEROUS MICA SCHIST,11052.541208188544,1
183,183,399750,2765600,GARNETIFEROUS MICA SCHIST,11003.414962954508,1
184,184,399800,2765600,GARNETIFEROUS MICA SCHIST,10954.296624395218,1
185,185,399850,2765600,GARNETIFEROUS MICA SCHIST,10905.18629934866,1
186,186,399900,2765600,GARNETIFEROUS MICA SCHIST,10856.084096568477,1
187,187,399950,2765600,GARNETIFEROUS MICA SCHIST,10806.990126766668,1
188,188,400000,2765600,GARNETIFEROUS MICA SCHIST,10757.904502657453,1
189,189,400050,2765600,GARNETIFEROUS MICA SCHIST,10708.827339002286,1
190,190,400100,2765600,GARNETIFEROUS MICA SCHIST,10659.758752656087,1
191,191,400150,2765600,GARNETIFEROUS MICA SCHIST,10610.698862614721,1
192,192,400200,2765600,GARNETIFEROUS MICA SCHIST,10561.647790063755,1
193,193,400250,2765600,GARNETIFEROUS MICA SCHIST,10512.605658428545,1
194,194,400300,2765600,GARNETIFEROUS MICA SCHIST,10463.572593425684,1
195,195,400350,2765600,GARNETIFEROUS MICA SCHIST,10414.54872311587,1
196,196,400400,2765600,GARNETIFEROUS MICA SCHIST,10365.534177958205,1
197,197,400450,2765600,GARNETIFEROUS MICA SCHIST,10316.529090866023,1
198,198,400500,2765600,GARNETIFEROUS MICA SCHIST,10267.533597264252,1
199,199,400550,2765600,GARNETIFEROUS MICA SCHIST,10218.54783514837,1
200,200,400600,2765600,GARNETIFEROUS MICA SCHIST,10169.571945145024,1
201,201,400650,2765600,GARNETIFEROUS MICA SCHIST,10120.606070574331,1
202,202,400700,2765600,GARNETIFEROUS MICA SCHIST,10071.650357513969,1
203,203,400750,2765600,GARNETIFEROUS MICA SCHIST,10022.704954865056,1
204,204,400800,2765600,GARNETIFEROUS MICA SCHIST,9973.770014419913,1
205,205,400850,2765600,GARNETIFEROUS MICA SCHIST,9924.845690931777,1
206,206,400900,2765600,GARNETIFEROUS MICA SCHIST,9875.932142186495,1
207,207,400950,2765600,GARNETIFEROUS MICA SCHIST,9827.029529076302,1
208,208,401000,2765600,GARNETIFEROUS MICA SCHIST,9778.138015675728,1
209,209,399150,2765650,GARNETIFEROUS MICA SCHIST,11584.67487981904,1
210,210,399200,2765650,GARNETIFEROUS MICA SCHIST,11535.430887460405,1
211,211,399250,2765650,GARNETIFEROUS MICA SCHIST,11486.193427225611,1
212,212,399300,2765650,GARNETIFEROUS MICA SCHIST,11436.962583479326,1
213,213,399350,2765650,GARNETIFEROUS MICA SCHIST,11387.738442033668,1
214,214,399400,2765650,GARNETIFEROUS MICA SCHIST,11338.521090179118,1
215,215,399450,2765650,GARNETIFEROUS MICA SCHIST,11289.310616716235,1
216,216,399500,2765650,GARNETIFEROUS MICA SCHIST,11240.107111988176,1
217,217,399550,2765650,GARNETIFEROUS MICA SCHIST,11190.910667914048,1
218,218,399600,2765650,GARNETIFEROUS MICA SCHIST,11141.721378023134,1
219,219,399650,2765650,GARNETIFEROUS MICA SCHIST,11092.539337489996,1
220,220,399700,2765650,GARNETIFEROUS MICA SCHIST,11043.364643170496,1
221,221,399750,2765650,GARNETIFEROUS MICA SCHIST,10994.19739363877,1
222,222,399800,2765650,GARNETIFEROUS MICA SCHIST,10945.037689225139,1
223,223,399850,2765650,GARNETIFEROUS MICA SCHIST,10895.885632055068,1
224,224,399900,2765650,GARNETIFEROUS MICA SCHIST,10846.741326089108,1
225,225,399950,2765650,GARNETIFEROUS MICA SCHIST,10797.604877163943,1
226,226,400000,2765650,GARNETIFEROUS MICA SCHIST,10748.476393034496,1
227,227,400050,2765650,GARNETIFEROUS MICA SCHIST,10699.355983417185,1
228,228,400100,2765650,GARNETIFEROUS MICA SCHIST,10650.24376003434,1
229,229,400150,2765650,GARNETIFEROUS MICA SCHIST,10601.139836659813,1
230,230,400200,2765650,GARNETIFEROUS MICA SCHIST,10552.044329165838,1
231,231,400250,2765650,GARNETIFEROUS MICA SCHIST,10502.957355571154,1
232,232,400300,2765650,GARNETIFEROUS MICA SCHIST,10453.879036090453,1
233,233,400350,2765650,GARNETIFEROUS MICA SCHIST,10404.809493185194,1
234,234,400400,2765650,GARNETIFEROUS MICA SCHIST,10355.748851615801,1
235,235,400450,2765650,GARNETIFEROUS MICA SCHIST,10306.69723849533,1
236,236,400500,2765650,GARNETIFEROUS MICA SCHIST,10257.65478334461,1
237,237,400550,2765650,GARNETIFEROUS MICA SCHIST,10208.621618148936,1
238,238,400600,2765650,GARNETIFEROUS MICA SCHIST,10159.597877416363,1
239,239,400650,2765650,GARNETIFEROUS MICA SCHIST,10110.58369823762,1
240,240,400700,2765650,GARNETIFEROUS MICA SCHIST,10061.579220347749,1
241,241,400750,2765650,GARNETIFEROUS MICA SCHIST,10012.584586189465,1
242,242,400800,2765650,GARNETIFEROUS MICA SCHIST,9963.599940978369,1
243,243,400850,2765650,GARNETIFEROUS MICA SCHIST,9914.625432769984,1
244,244,400900,2765650,GARNETIFEROUS MICA SCHIST,9865.661212528772,1
245,245,400950,2765650,GARNETIFEROUS MICA SCHIST,9816.707434199103,1
246,246,401000,2765650,GARNETIFEROUS MICA SCHIST,9767.764254778327,1
247,247,401050,2765650,GARNETIFEROUS MICA SCHIST,9718.831834391955,1
248,248,399100,2765700,GARNETIFEROUS MICA SCHIST,11625.422739245543,1
249,249,399150,2765700,GARNETIFEROUS MICA SCHIST,11576.136123700024,1
250,250,399200,2765700,GARNETIFEROUS MICA SCHIST,11526.855652895889,1
251,251,399250,2765700,GARNETIFEROUS MICA SCHIST,11477.581405982846,1
252,252,399300,2765700,GARNETIFEROUS MICA SCHIST,11428.31346346557,1
253,253,399350,2765700,GARNETIFEROUS MICA SCHIST,11379.051907232593,1
254,254,399400,2765700,GARNETIFEROUS MICA SCHIST,11329.796820585927,1
255,255,399450,2765700,GARNETIFEROUS MICA SCHIST,11280.548288271464,1
256,256,399500,2765700,GARNETIFEROUS MICA SCHIST,11231.306396510137,1
257,257,399550,2765700,GARNETIFEROUS MICA SCHIST,11182.071233029897,1
258,258,399600,2765700,GARNETIFEROUS MICA SCHIST,11132.842887098517,1
259,259,399650,2765700,GARNETIFEROUS MICA SCHIST,11083.621449557239,1
260,260,399700,2765700,GARNETIFEROUS MICA SCHIST,11034.407012855316,1
261,261,399750,2765700,GARNETIFEROUS MICA SCHIST,10985.19967108545,1
262,262,399800,2765700,GARNETIFEROUS MICA SCHIST,10935.999520020157,1
263,263,399850,2765700,GARNETIFEROUS MICA SCHIST,10886.80665714912,1
264,264,399900,2765700,GARNETIFEROUS MICA SCHIST,10837.621181717492,1
265,265,399950,2765700,GARNETIFEROUS MICA SCHIST,10788.443194765263,1
266,266,400000,2765700,GARNETIFEROUS MICA SCHIST,10739.272799167651,1
267,267,400050,2765700,GARNETIFEROUS MICA SCHIST,10690.11009967659,1
268,268,400100,2765700,GARNETIFEROUS MICA SCHIST,10640.955202963347,1
269,269,400150,2765700,GARNETIFEROUS MICA SCHIST,10591.80821766227,1
270,270,400200,2765700,GARNETIFEROUS MICA SCHIST,10542.669254415756,1
271,271,400250,2765700,GARNETIFEROUS MICA SCHIST,10493.538425920426,1
272,272,400300,2765700,GARNETIFEROUS MICA SCHIST,10444.415846974583,1
273,273,400350,2765700,GARNETIFEROUS MICA SCHIST,10395.30163452697,1
274,274,400400,2765700,GARNETIFEROUS MICA SCHIST,10346.195907726875,1
275,275,400450,2765700,GARNETIFEROUS MICA SCHIST,10297.09878797565,1
276,276,400500,2765700,GARNETIFEROUS MICA SCHIST,10248.01039897964,1
277,277,400550,2765700,GARNETIFEROUS MICA SCHIST,10198.930866804625,1
278,278,400600,2765700,GARNETIFEROUS MICA SCHIST,10149.860319931768,1
279,279,400650,2765700,GARNETIFEROUS MICA SCHIST,10100.798889315174,1
280,280,400700,2765700,GARNETIFEROUS MICA SCHIST,10051.746708441073,1
281,281,400750,2765700,GARNETIFEROUS MICA SCHIST,10002.70391338868,1
282,282,400800,2765700,GARNETIFEROUS MICA SCHIST,9953.670642892826,1
283,283,400850,2765700,GARNETIFEROUS MICA SCHIST,9904.647038408373,1
284,284,400900,2765700,GARNETIFEROUS MICA SCHIST,9855.6332441765,1
285,285,400950,2765700,GARNETIFEROUS MICA SCHIST,9806.62940729292,1
286,286,401000,2765700,GARNETIFEROUS MICA SCHIST,9757.635677778073,1
287,287,401050,2765700,GARNETIFEROUS MICA SCHIST,9708.652208649397,1
288,288,399100,2765750,GARNETIFEROUS MICA SCHIST,11617.129135440035,1
289,289,399150,2765750,GARNETIFEROUS MICA SCHIST,11567.80718363489,1
290,290,399200,2765750,GARNETIFEROUS MICA SCHIST,11518.491078523273,1
291,291,399250,2765750,GARNETIFEROUS MICA SCHIST,11469.180895525431,1
292,292,399300,2765750,GARNETIFEROUS MICA SCHIST,11419.87671135511,1
293,293,399350,2765750,GARNETIFEROUS MICA SCHIST,11370.578604047203,1
294,294,399400,2765750,GARNETIFEROUS MICA SCHIST,11321.286652986104,1
295,295,399450,2765750,GARNETIFEROUS MICA SCHIST,11272.000938934782,1
296,296,399500,2765750,GARNETIFEROUS MICA SCHIST,11222.721544064605,1
297,297,399550,2765750,GARNETIFEROUS MICA SCHIST,11173.448551985959,1
298,298,399600,2765750,GARNETIFEROUS MICA SCHIST,11124.182047779621,1
299,299,399650,2765750,GARNETIFEROUS MICA SCHIST,11074.922118028986,1
300,300,399700,2765750,GARNETIFEROUS MICA SCHIST,11025.668850853128,1
301,301,399750,2765750,GARNETIFEROUS MICA SCHIST,10976.422335940713,1
302,302,399800,2765750,GARNETIFEROUS MICA SCHIST,10927.182664584841,1
303,303,399850,2765750,GARNETIFEROUS MICA SCHIST,10877.949929718776,1
304,304,399900,2765750,GARNETIFEROUS MICA SCHIST,10828.724225952657,1
305,305,399950,2765750,GARNETIFEROUS MICA SCHIST,10779.505649611176,1
306,306,400000,2765750,GARNETIFEROUS MICA SCHIST,10730.294298772264,1
307,307,400050,2765750,GARNETIFEROUS MICA SCHIST,10681.09027330683,1
308,308,400100,2765750,GARNETIFEROUS MICA SCHIST,10631.893674919584,1
309,309,400150,2765750,GARNETIFEROUS MICA SCHIST,10582.704607190939,1
310,310,400200,2765750,GARNETIFEROUS MICA SCHIST,10533.523175620092,1
311,311,400250,2765750,GARNETIFEROUS MICA SCHIST,10484.34948766927,1
312,312,400300,2765750,GARNETIFEROUS MICA SCHIST,10435.18365280919,1
313,313,400350,2765750,GARNETIFEROUS MICA SCHIST,10386.025782565794,1
314,314,400400,2765750,GARNETIFEROUS MICA SCHIST,10336.875990568265,1
315,315,400450,2765750,GARNETIFEROUS MICA SCHIST,10287.734392598399,1
316,316,400500,2765750,GARNETIFEROUS MICA SCHIST,10238.601106641336,1
317,317,400550,2765750,GARNETIFEROUS MICA SCHIST,10189.476252937757,1
318,318,400600,2765750,GARNETIFEROUS MICA SCHIST,10140.359954037516,1
319,319,400650,2765750,GARNETIFEROUS MICA SCHIST,10091.252334854827,1
320,320,400700,2765750,GARNETIFEROUS MICA SCHIST,10042.153522725008,1
321,321,400750,2765750,GARNETIFEROUS MICA SCHIST,9993.063647462852,1
322,322,400800,2765750,GARNETIFEROUS MICA SCHIST,9943.982841422687,1
323,323,400850,2765750,GARNETIFEROUS MICA SCHIST,9894.911239560164,1
324,324,400900,2765750,GARNETIFEROUS MICA SCHIST,9845.848979495844,1
325,325,400950,2765750,GARNETIFEROUS MICA SCHIST,9796.796201580628,1
326,326,401000,2765750,GARNETIFEROUS MICA SCHIST,9747.753048963124,1
327,327,401050,2765750,GARNETIFEROUS MICA SCHIST,9698.719667658981,1
328,328,401100,2765750,GARNETIFEROUS MICA SCHIST,9649.69620662228,1
329,329,399100,2765800,GARNETIFEROUS MICA SCHIST,11609.04495782543,1
330,330,399150,2765800,GARNETIFEROUS MICA SCHIST,11559.688513151092,1
331,331,399200,2765800,GARNETIFEROUS MICA SCHIST,11510.337623603513,1
332,332,399250,2765800,GARNETIFEROUS MICA SCHIST,11460.992360943614,1
333,333,399300,2765800,GARNETIFEROUS MICA SCHIST,11411.652798165265,1
334,334,399350,2765800,GARNETIFEROUS MICA SCHIST,11362.319009521709,1
335,335,399400,2765800,GARNETIFEROUS MICA SCHIST,11312.991070552634,1
336,336,399450,2765800,GARNETIFEROUS MICA SCHIST,11263.669058111967,1
337,337,399500,2765800,GARNETIFEROUS MICA SCHIST,11214.353050396361,1
338,338,399550,2765800,GARNETIFEROUS MICA SCHIST,11165.043126974451,1
339,339,399600,2765800,GARNETIFEROUS MICA SCHIST,11115.739368816845,1
340,340,399650,2765800,GARNETIFEROUS MICA SCHIST,11066.441858326913,1
341,341,399700,2765800,GARNETIFEROUS MICA SCHIST,11017.150679372378,1
342,342,399750,2765800,GARNETIFEROUS MICA SCHIST,10967.865917317758,1
343,343,399800,2765800,GARNETIFEROUS MICA SCHIST,10918.58765905764,1
344,344,399850,2765800,GARNETIFEROUS MICA SCHIST,10869.315993050854,1
345,345,399900,2765800,GARNETIFEROUS MICA SCHIST,10820.051009355562,1
346,346,399950,2765800,GARNETIFEROUS MICA SCHIST,10770.792799665287,1
347,347,400000,2765800,GARNETIFEROUS MICA SCHIST,10721.5414573459,1
